# lambda = 4.8 um
# Basline       Visbility Dust + Star         Visibility  Star
81	            0.9322473698572823            0.9956538507148683
82	            0.932081248110983             0.9955456251922818
83	            0.9314889517891187            0.9954365064687971
84	            0.9304890369681847            0.9953273877453122
85	            0.9291098730331725            0.9952182690218274
86	            0.9273675213547019            0.9951090022292288
87	            0.9253319484492063            0.9949936910853391
88	            0.9230613311108734            0.9948783799414495
89	            0.920613971913526             0.9947630687975595
90	            0.9180516855393984            0.9946477576536699
91	            0.9154382411486299            0.9945312595151369
92	            0.9128377783379578            0.9944097630928632
93	            0.9103132347953758            0.9942882666705896
94	            0.9079248230213868            0.9941667702483159
95	            0.9057340884949617            0.9940452738260422
96	            0.9038061890036249            0.9939215540208407
97	            0.9021705874530466            0.9937938798445203
98	            0.9008616605264039            0.9936662056682
99	            0.8999051724424418            0.9935385314918798
100	            0.8993177601417932            0.9934108573155594
101	            0.8991066459347472            0.9932799260976418
102	            0.8992695816636107            0.993146082073339
103	            0.8997950228908008            0.9930122380490362
104	            0.9006625261798086            0.9928783940247334
105	            0.9018596988488624            0.9927445500004305
106	            0.9033357503720915            0.992606418197431
107	            0.9050382869501593            0.992466412612318
108	            0.9069183072438028            0.9923264070272053
109	            0.9089230251803107            0.9921864014420925
110	            0.9109972144776213            0.9920463958569796
111	            0.9130845956190856            0.9919010748691529
112	            0.9151292314385702            0.9917549163908621
113	            0.9170768976630944            0.9916087579125712
114	            0.9188744976271934            0.9914625994342804
115	            0.9204580956268145            0.9913162450791516
116	            0.9217994189856653            0.9911639427550964
117	            0.9228647763253438            0.9910116404310413
118	            0.9236277671287164            0.990859338106986
119	            0.924069837861421             0.9907070357829308
120	            0.9241806403885796            0.9905535073303453
121	            0.9239581864147577            0.9903950705870125
122	            0.9234087966211948            0.9902366338436795
123	            0.9225468480965929            0.9900781971003467
124	            0.9213822502482374            0.9899197603570139
125	            0.9199499467738831            0.9897590705398444
126	            0.9182978147464278            0.9895945091820567
127	            0.9164671835142132            0.9894299478242691
128	            0.9145032782929765            0.9892653864664814
129	            0.9124540578738691            0.9891008251086937
130	            0.9103689997493125            0.9889329872284133
131	            0.9082978626111431            0.9887623114385621
132	            0.9062894563764249            0.9885916356487109
133	            0.904390449377596             0.9884209598588596
134	            0.9026602090269934            0.9882502840690084
135	            0.9011277692119873            0.9880753119943874
136	            0.8998251709244852            0.9878985323316363
137	            0.898778784320071             0.9877217526688851
138	            0.8980082293818729            0.987544973006134
139	            0.897525974466812             0.9873681933433828
140	            0.8973371142168264            0.9871861015091308
141	            0.8974393301310267            0.9870032289085894
142	            0.8978230326716182            0.9868203563080479
143	            0.8984797597422378            0.9866374837075063
144	            0.8993879298397488            0.9864543687404512
145	            0.9005036791077886            0.9862654145123197
146	            0.9017922056550272            0.9860764602841884
147	            0.9032148100492469            0.9858875060560571
148	            0.9047298986334056            0.9856985518279257
149	            0.9062940455456105            0.9855083359783712
150	            0.9078630870220862            0.9853133118070568
151	            0.9093932210868898            0.9851182876357425
152	            0.9108420859047316            0.984923263464428
153	            0.9121586637545188            0.9847282392931137
154	            0.9133104521034566            0.9845309383116115
155	            0.9142683981360366            0.9843298562548136
156	            0.9150066633079491            0.9841287741980156
157	            0.9155051999877943            0.9839276921412176
158	            0.9157501759562988            0.9837266100844195
159	            0.915734241721121             0.9835222402824351
160	            0.9154566359923464            0.9833151127702026
161	            0.9149231286159207            0.98310798525797
162	            0.9141411418120252            0.9829008577457373
163	            0.913120965397176             0.9826937302335049
164	            0.9119030354581302            0.98248230848182
165	            0.9105165011005248            0.9822691483155802
166	            0.9089943283592808            0.9820559881493403
167	            0.9073724373592397            0.9818428279831003
168	            0.9056887775875142            0.9816296678168605
169	            0.9039823644781629            0.981411211543924
170	            0.9022923011742016            0.9811920318954807
171	            0.9006568094166905            0.9809728522470376
172	            0.899119519551898             0.9807536725985945
173	            0.8977145216779104            0.980534205729869
174	            0.8964683608666791            0.9803090201403748
175	            0.8954059343638318            0.9800838345508804
176	            0.8945471963021826            0.9798586489613861
177	            0.8939067253983004            0.9796334633718916
178	            0.8934934297342765            0.9794069845955033
179	            0.8933103941723688            0.979175806974399
180	            0.8933548724398129            0.9789446293532946
181	            0.8936200450976075            0.9787134517321902
182	            0.8941047722081799            0.9784822741110857
183	            0.8947720792309799            0.9782488021508479
184	            0.8955977345745852            0.9780116467747773
185	            0.8965538341719109            0.9777744913987065
186	            0.8976095393994185            0.9775373360226358
187	            0.8987318778126941            0.9773001806465651
188	            0.8998865864370588            0.9770597347779425
189	            0.9010389765648791            0.9768166162896359
190	            0.9021547987395012            0.9765734978013294
191	            0.9031965411982005            0.9763303793130227
192	            0.9041302643627812            0.9760872608247162
193	            0.9049317292156435            0.9758398608729396
194	            0.90557729247919              0.9755907942800705
195	            0.9060475014643412            0.9753417276872013
196	            0.9063275222517039            0.9750926610943322
197	            0.9064074490492892            0.9748435945014631
198	            0.9062824886552324            0.9745892608395912
199	            0.9059530170515334            0.9743342615136035
               
               
